Scrip Code,COMPANY,ISIN No.,Close Price
544292,Onesource Specialty Pharma Lim,INE013P01021,1653.4
532466,ORACLE FINANCIAL SERVICES SOFT,INE881D01027,10660.4
523642,P.I.INDUSTRIES LTD.,INE603J01030,2731.25
532827,PAGE INDUSTRIES LTD.,INE761H01022,40289.85
543530,Paradeep Phosphates Limited,INE088F01024,136
500368,Patanjali Foods Limited,INE619A01035,341
543390,PB Fintech Limited,INE417T01026,1538.55
506590,PCBL Chemical Limited,INE602A01031,317.65
533179,PERSISTENT SYSTEMS LTD.,INE262H01021,5203.15
532522,PETRONET LNG LTD.,INE347G01014,274.75
533581,PG ELECTROPLAST LTD.,INE457L01029,572
544609,Physicswallah Limited,INE0LP301011,128.7
500331,PIDILITE INDUSTRIES LTD.,INE318A01026,1570.9
544606,Pine Labs Limited,INE15B701018,145.8
544597,Piramal Finance Limited,INE202B01038,2086.4
543635,PIRAMAL PHARMA LIMITED,INE0DK501011,181.15
540173,PNB Housing Finance Limited,INE572E01012,1057.95
531768,POLY MEDICURE LTD.,INE205C01021,1666.5
542652,Polycab India Limited,INE455K01017,8905.4
524000,POONAWALLA FINCORP LIMITED,INE511C01022,458.4
532810,POWER FINANCE CORPORATION LTD.,INE134E01011,412.1
532898,POWER GRID CORPORATION OF INDI,INE752E01010,288.3
544238,Premier Energies Limited,INE0BS701011,1018.55
533274,PRESTIGE ESTATES PROJECTS LTD.,INE811K01011,1592.1
532748,PRIME FOCUS LTD.,INE367G01038,289.1
500459,PROCTER & GAMBLE HYGIENE & HEA,INE179A01014,8963.95
539006,PTC Industries Ltd.,INE596F01018,17733.7
532461,PUNJAB NATIONAL BANK,INE160A01022,110.45
532689,PVR INOX LIMITED,INE191H01014,1063.35
543981,R R KABEL LIMITED,INE777K01022,2497
532497,RADICO KHAITAN LTD.,INE944F01028,4090.65
542649,Rail Vikas Nigam Limited,INE415G01027,224.55
543265,RailTel Corporation of India L,INE0DD101019,284.95
543524,Rainbow Children's Medicare Li,INE961O01016,1455.45
532527,RAMKRISHNA FORGINGS LTD.,INE399G01023,579.35
524230,RASHTRIYA CHEMICALS & FERTILIZ,INE027A01015,124.1
540065,RBL Bank Limited,INE976G01028,352.95
532955,REC LIMITED,INE020B01018,361.45
532805,Redington Limited,INE891D01026,259.1
500325,RELIANCE INDUSTRIES LTD.,INE002A01018,1278.15
532939,RELIANCE POWER LTD.,INE614G01033,24.08
534076,RHI MAGNESITA INDIA LIMITED,INE743M01012,399.65
541556,RITES Limited,INE320J01015,213.75
544282,Sagility Limited,INE0W2G01015,40.46
544306,Sai Life Sciences Limited,INE570L01029,1232.3
535789,Sammaan Capital Limited,INE148I01020,160.7
517334,Samvardhana Motherson Internat,INE775A01035,145.55
543397,Sapphire Foods India Limited,INE806T01020,178.95
504614,SARDA ENERGY & MINERALS LTD.,INE385C01021,501.5
543066,SBI CARDS AND PAYMENT SERVICES,INE018E01016,618.95
540719,SBI Life Insurance Company Lim,INE123W01016,1857.65
505790,Schaeffler India Limited,INE513A01022,4103.9
534139,SCHNEIDER ELECTRIC INFRASTRUCT,INE839M01018,1353.7
500387,SHREE CEMENT LTD.,INE070A01015,26739.35
511218,Shriram Finance Limited,INE721A01047,1005
543299,Shyam Metalics and Energy Limi,INE810G01011,1027.25
544390,Siemens Energy India Limited,INE1NPP01017,3240.1
500550,SIEMENS LTD.,INE003A01024,3686.6
543990,SIGNATUREGLOBAL (INDIA) LIMITE,INE903U01023,769.2
533206,SJVN LTD,INE002L01015,67.54
532784,SOBHA,INE671H01015,1363.15
532725,SOLAR INDUSTRIES INDIA LTD.,INE343H01029,18489.15
543300,Sona BLW Precision Forgings Li,INE073K01018,717.7
532221,SONATA SOFTWARE LTD.,INE269A01021,288.15
503806,SRF LTD.,INE647A01010,2661.2
543412,Star Health and Allied Insuran,INE575P01011,581.55
500112,STATE BANK OF INDIA,INE062A01020,1015.05
500113,STEEL AUTHORITY OF INDIA LTD.,INE114A01011,161.55
542920,SUMITOMO CHEMICAL INDIA LIMITE,INE258G01013,520.1
524715,SUN PHARMACEUTICAL INDUSTRIES,INE044A01036,1941
532733,SUN TV NETWORK LTD.,INE424H01027,486.75
509930,SUPREME INDUSTRIES LTD.,INE195A01028,3459.25
532667,SUZLON ENERGY LTD.,INE040H01021,52.3
503310,Swan Corp Limited,INE665A01038,310.1
544285,SWIGGY LIMITED,INE00H001014,251.4
539268,Syngene International Limited,INE398R01022,406.6
543573,Syrma SGS Technology Limited,INE0DYJ01015,1294.15
544574,Tata Capital Limited,INE976I01016,341.45
500770,TATA CHEMICALS LTD.,INE092A01019,684.5
500483,TATA COMMUNICATIONS LTD.,INE151A01013,1773.6
532540,TATA CONSULTANCY SERVICES LTD.,INE467B01029,2253.9
500800,TATA CONSUMER PRODUCTS LIMITED,INE192A01025,1088.6
500408,TATA ELXSI LTD.,INE670A01012,3539.4
501301,TATA INVESTMENT CORPORATION LT,INE672A01026,631.4
544569,Tata Motors Limited,INE1TAE01010,406.2
500570,TATA MOTORS PASSENGER VEHICLES,INE155A01022,323.85
500400,TATA POWER CO.LTD.,INE245A01021,374.55
500470,TATA STEEL LTD.,INE081A01020,182.7
544028,Tata Technologies Limited,INE142M01025,711
544174,TBO TEK LIMITED,INE673O01025,1429.9
532755,TECH MAHINDRA LTD.,INE669C01036,1560.3
542141,Techno Electric & Engineering,INE285K01026,993.6
540595,Tejas Networks Limited,INE010J01012,496.2
544612,Tenneco Clean Air India Limite,INE19RI01016,539.85
501425,The Bombay Burmah Trading Corp,INE050A01025,1458.25
500850,THE INDIAN HOTELS COMPANY LTD,INE053A01029,727.4
540769,The New India Assurance Compan,INE470Y01017,173.2
503100,THE PHOENIX MILLS LTD,INE211B01039,2012.25
500260,THE RAMCO CEMENTS LIMITED,INE331A01037,914.4
500411,THERMAX LTD.,INE152A01029,4517.5
522113,TIMKEN INDIA LTD.,INE325A01013,3127.7
532966,TITAGARH RAIL SYSTEMS LIMITED,INE615H01020,819.75
500114,TITAN COMPANY LIMITED,INE280A01028,4681.7
500420,TORRENT PHARMACEUTICALS LTD.,INE685A01028,4959.8
532779,TORRENT POWER LTD.,INE813H01021,1436.6
532928,TRANSFORMERS AND RECTIFIERS (I,INE763I01026,295.1
544443,TRAVEL FOOD SERVICES LIMITED,INE103V01028,1286.9
500251,TRENT LTD.,INE849A01020,2891.25
